Año Cuenta Pública,Grupo Funcional,Sector,Ente Fiscalizado,Entidad Federativa,Tipo Auditoría,Número,Título,Universo (miles pesos),Muestra (miles pesos),Ente a quien se dirige la Acción,Tipo Acción,Clave Acción,Acción Superveniente,Texto Acción,Estado de Trámite,Auditorías,Acciones
2020,Gasto Federalizado,Bienestar,Secretaría de Bienestar,Ciudad de México,De Cumplimiento,307,Distribución de los Recursos del Fondo de Aportaciones para la Infraestructura Social Municipal y de las Demarcaciones Territoriales del Distrito Federal,"75,447,093.40","75,447,093.40",-,-,-,-,-,-,1,0
2020,Gasto Federalizado,Educación Pública,Colegio de Bachilleres,Ciudad de México,De Cumplimiento,139,Subsidios para Organismos Descentralizados Estatales (Educación Media Superior),-,-,-,-,-,-,-,-,1,0
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,117,Escuelas al CIEN,-,-,Servicio de Administración Tributaria,Promoción del Ejercicio de la Facultad de Comprobación Fiscal,2020-5-06E00-19-0117-05-001,-,"Para que el Servicio de Administración Tributaria instruya a quien corresponda con el propósito de que audite a la persona moral denominada Constructora y Abastecedora de Materiales Jenda, S.A. de C.V., con RFC CAM160719JX1, por la cancelación y la falta de registro de las facturas por la prestación de servicios, a fin de constatar el cumplimiento de sus obligaciones fiscales.",Con seguimiento concluido,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,120,Expansión de la Educación Inicial,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0120-08-001,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no presentaron evidencia documental de la modificación presupuestal debidamente autorizada, respecto de los recursos no pagados del programa Expansión de la Educación Inicial del ejercicio fiscal 2020, correspondientes a los apoyos de tipo en especie y de tipo financiero acordado mediante el traspaso del Ramo 11 al Ramo 25 para la Autoridad Educativa Federal de la Ciudad de México, en incumplimiento de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, artículos 54, 58 y 75, fracción IV; del Reglamento de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, artículos 175 y 176; y de los Lineamientos de Operación del Programa Expansión de la Educación Inicial para el Ejercicio Fiscal 2020, numerales 3.4, párrafo primero y apartado Apoyos en especie; 3.4.1.1, párrafo primero; y 3.4.1.3, párrafos segundo y tercero.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,120,Expansión de la Educación Inicial,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0120-08-002,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no presentaron evidencia documental de la modificación presupuestal debidamente autorizada, respecto de los recursos no aplicados del programa Expansión de la Educación Inicial del ejercicio fiscal 2020, en incumplimiento de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, artículos 54, 58 y 75, fracción IV; del Reglamento de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, artículos 175 y 176; y de los Lineamientos de Operación del Programa Expansión de la Educación Inicial para el Ejercicio Fiscal 2020, numerales 3.4, 3.4.1.1, párrafo primero, y 3.4.1.3, párrafos segundo y tercero.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,120,Expansión de la Educación Inicial,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0120-08-003,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, consolidaron y publicaron en la página de internet de la Secretaría de Educación Pública las bases de datos de los ""Centros de Atención Infantil (CAI) Federalizados"", de los ""Centros de Desarrollo Infantil (CENDI) en proceso de regularización"", de ""Voluntarios de los CENDI en proceso de regularización"", y de ""Agentes Educativos Centros Comunitarios de Atención a la Primera Infancia (CCAPI)"", así como de la ""Plantilla de Agentes Educativos del Programa Visitas a los Hogares"", las cuales presentaron diferencias en al menos una base de datos y en la ""Plantilla de Agentes Educativos del Programa Visitas a los Hogares"", remitidas por las Autoridades Educativas Locales de los estados de Baja California Sur, Coahuila de Zaragoza, Durango, Guerrero, Michoacán, Morelos, Nayarit, Nuevo León, Puebla, Quintana Roo, Sinaloa, Sonora, Tamaulipas, Tlaxcala y Zacatecas, beneficiadas con los recursos del programa Expansión de la Educación Inicial del ejercicio fiscal 2020, en incumplimiento de los Lineamientos de Operación del Programa Expansión de la Educación Inicial para el Ejercicio Fiscal 2020, numeral 3.3.3, párrafo último.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,126,Programa Nacional de Inglés,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0126-08-003,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, entregaron de manera extemporánea en octubre, noviembre y diciembre de 2020 los recursos del Programa Nacional de Inglés del ejercicio fiscal 2020 correspondientes a la cuarta ministración, es decir, después de septiembre de 2020, la cual fue señalada en las tablas de distribución de los anexos únicos de los convenios modificatorios para las 31 entidades federativas, en incumplimiento de los Convenios Modificatorios a los Convenios Marco para la Operación de los Programas Federales de Educación Básica, correspondientes al Programa Nacional de Inglés del ejercicio fiscal 2020, suscritos con las 31 Entidades Federativas, cláusulas cuarta, párrafo primero, y de los Anexos Únicos.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,126,Programa Nacional de Inglés,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0126-08-002,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, entregaron de manera extemporánea los recursos del Programa Nacional de Inglés del ejercicio fiscal 2020 en la primera ministración a los estados de Baja California Sur, Guanajuato, Michoacán de Ocampo y Puebla, y en la tercera ministración a las entidades federativas de Guerrero, Michoacán de Ocampo y Oaxaca, en incumplimiento de los Convenios Marco para la Operación de los Programas Federales de Educación Básica, correspondientes al Programa Nacional de Inglés del ejercicio fiscal 2020, suscritos con los gobiernos de los estados de Baja California Sur, Guanajuato, Guerrero, Michoacán de Ocampo, Oaxaca y Puebla, del 25 de febrero de 2020, cláusulas cuarta, párrafo primero, y octava, inciso c, y Anexos Únicos.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,126,Programa Nacional de Inglés,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0126-08-001,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no entregaron a la Subsecretaría de Educación Básica las justificaciones relacionadas con el envío extemporáneo de los Planes Anuales de Trabajo correspondientes al Programa Nacional de Inglés del ejercicio fiscal 2020, por parte de las Autoridades Educativas Locales de las entidades de Baja California, Jalisco, Querétaro y Veracruz de Ignacio de la Llave, ni proporcionaron las acciones determinadas por la Subsecretaría de Educación Básica para la suspensión o cancelación de los apoyos financieros del programa, en incumplimiento del Acuerdo número 23/12/2019 por el que se emiten las Reglas de Operación del Programa Nacional de Inglés para el ejercicio fiscal 2020, con fecha de publicación en el Diario Oficial de la Federación del 29 de diciembre de 2019, numerales 3.5, apartado Obligaciones de las AEL, inciso d; y 3.6.1, apartados SEB, inciso f, y DGDC, inciso l.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,126,Programa Nacional de Inglés,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0126-08-004,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no realizaron el informe de cierre del ejercicio fiscal 2020, de manera consolidada con los avances físicos financieros enviados por las Autoridades Educativas Locales de las 32 entidades federativas, aun cuando se realizaron las gestiones para el seguimiento y supervisión de los cierres del ejercicio correspondientes, en incumplimiento del Acuerdo número 23/12/2019 por el que se emiten las Reglas de Operación del Programa Nacional de Inglés para el ejercicio fiscal 2020, con fecha de publicación en el Diario Oficial de la Federación del 29 de diciembre de 2019, numeral 4.2.3.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,127,Recursos del Fondo de Aportaciones Múltiples,-,-,-,-,-,-,-,-,1,0
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,128,Recursos del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0128-08-004,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no acreditaron la verificación de la información proporcionada por las entidades federativas, los procesos de vigilancia del monto de las remuneraciones y la detección de los casos que superaran los ingresos promedio de un docente en la categoría más alta del tabulador salarial correspondiente a cada entidad, en incumplimiento de la Ley General de Contabilidad Gubernamental, artículo 73, fracción II, incisos f y g.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,128,Recursos del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0128-08-003,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no publicaron en el portal de internet de la Secretaría de Educación Pública los informes completos del primero, segundo y cuarto trimestres remitidos por los institutos estatales de educación para adultos y los colegios estatales de educación tecnológica, en incumplimiento de la Ley General de Contabilidad Gubernamental, artículo 73, fracción II, inciso d.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,128,Recursos del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0128-08-001,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no registraron los planteles, las instalaciones educativas ni la plantilla del personal de los colegios estatales de educación tecnológica para la determinación de los recursos presupuestarios del fondo por entidad federativa, en incumplimiento de la Ley de Coordinación Fiscal, artículo 43, fracción I y del Manual de Operación del Catálogo de Centros de trabajo.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,128,Recursos del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0128-08-002,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no actualizaron todos los registros del personal federalizado, ni validaron los reportes emitidos por las entidades federativas respecto de los institutos estatales de educación para adultos y los colegios estatales de educación tecnológica, en incumplimiento de la Ley General de Contabilidad Gubernamental, artículo 73, fracción II, inciso c.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,132,Subsidios para Organismos Descentralizados Estatales,-,-,Secretaría de Educación Pública,Recomendación,2020-0-11100-19-0132-01-001,-,"Para que la Secretaría de Educación Pública implemente los mecanismos de acción en coordinación con cada Universidad Pública Estatal, con el objeto de que el Anexo de Ejecución al Convenio Marco y su ""Apartado Único"", se suscriban en lo subsecuente, atendiendo a las necesidades reales y particularidades que se presentan en cada entidad educativa, con el fin de procurar que los recursos públicos que se transfieren, sean administrados con eficiencia, eficacia, economía, transparencia y honradez, para satisfacer los objetivos a los que estén destinados.Los términos de esta recomendación y los mecanismos para su atención, por parte de la entidad fiscalizada, quedan asentados en el Acta de la Reunión de Presentación de Resultados Finales y Observaciones Preliminares en los términos del artículo 42 de la Ley de Fiscalización y Rendición de Cuentas de la Federación.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,133,Subsidios para Organismos Descentralizados Estatales (Coordinación General de Universidades Tecnológicas y Politécnicas),-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0133-08-001,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no publicaron en el portal de transparencia 10 contratos, pagados con los recursos del programa, que fueron formalizados con los prestadores de servicios por honorarios asimilados a salarios, en incumplimiento de la Ley General de Transparencia y Acceso a la Información Pública, artículos 60, 62, 64 y 70, fracciones XV, XXVII y XLVIII; del ACUERDO por el que se emiten las Disposiciones en las materias de Recursos Humanos y del Servicio Profesional de Carrera, así como del Manual Administrativo de Aplicación General en materia de Recursos Humanos y Organización y el Manual del Servicio Profesional de Carrera, artículo 114, y del Acta de sesión extraordinaria número ACT/CT/SE/28/09/2020SLGTAIP de fecha 28 de septiembre de 2020, punto 1.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,133,Subsidios para Organismos Descentralizados Estatales (Coordinación General de Universidades Tecnológicas y Politécnicas),-,-,Secretaría de Educación Pública,Recomendación,2020-0-11100-19-0133-01-001,-,"Para que la Secretaría de Educación Pública mediante la Dirección General de Universidades Tecnológicas y Politécnicas, incorpore en los mecanismos de seguimiento del programa, los elementos que le permitan conocer con oportunidad los avances específicos en el ejercicio y comprobación de los recursos, así como para determinar la cuantía de recursos del programa que al cierre de cada ejercicio, debieran de ser reintegrados a la Tesorería de la Federación. Lo anterior, con el objetivo de fortalecer el control interno.Los términos de esta recomendación y los mecanismos para su atención, por parte de la entidad fiscalizada, quedan asentados en el Acta de la Reunión de Presentación de Resultados Finales y Observaciones Preliminares en los términos del artículo 42 de la Ley de Fiscalización y Rendición de Cuentas de la Federación.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,134,Subsidios para Organismos Descentralizados Estatales (Educación Media Superior),-,-,Secretaría de Educación Pública,Pliego de Observaciones,2020-0-11100-19-0134-06-001,-,"Se presume un probable daño o perjuicio, o ambos, a la Hacienda Pública Federal por un monto de 186,126.00 pesos (ciento ochenta y seis mil ciento veintiséis pesos 00/100 M.N.), por pagar a una persona contratada por honorarios asimilables a salarios, cuyo contrato careció de la firma del prestador de servicios, en incumplimiento de la Ley General de Contabilidad Gubernamental, artículo 42, primer párrafo, y del Contrato de prestación de servicios profesionales por honorarios, número 125698, cláusula décima sexta.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,134,Subsidios para Organismos Descentralizados Estatales (Educación Media Superior),-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0134-08-002,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no publicaron en el portal de transparencia de la Secretaría de Educación Pública los contratos pagados con los recursos del programa, y que fueron formalizados con los prestadores de servicios por honorarios asimilados a salarios, en incumplimiento de la Ley General de Transparencia y Acceso a la Información Pública, artículos 60, 62, 64 y 70, fracciones XV, XXVII y XLVIII; del Acuerdo por el que se emiten las Disposiciones en las materias de Recursos Humanos y del Servicio Profesional de Carrera, así como del Manual Administrativo de Aplicación General en materia de Recursos Humanos y Organización y el Manual del Servicio Profesional de Carrera, artículo 114, y del Acta de sesión extraordinaria número ACT/CT/SE/28/09/2020SLGTAIP de fecha 28 de septiembre de 2020, punto 1.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,134,Subsidios para Organismos Descentralizados Estatales (Educación Media Superior),-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,2020-9-11100-19-0134-08-001,-,"La Auditoría Superior de la Federación emite la Promoción de Responsabilidad Administrativa Sancionatoria para que el Órgano Interno de Control en la Secretaría de Educación Pública o su equivalente realice las investigaciones pertinentes y, en su caso, inicie el procedimiento administrativo correspondiente por las irregularidades de los servidores públicos que, en su gestión, no ministraron los recursos del programa Subsidios para Organismos Descentralizados Estatales (Educación Media Superior) de los meses de febrero y marzo, de acuerdo con los calendarios de ministración de los anexos de ejecución y convenios de apoyo financiero, en incumplimiento de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, artículos 23, párrafo primero, 51 y 74; de los Anexos de Ejecución para los Colegios de Bachilleres, para los Colegios de Estudios Científicos y Tecnológicos, y de los Institutos de Capacitación para el Trabajo, de los estados, cláusula tercera, inciso a; de los Anexos de Ejecución para el Instituto de Apoyo al Desarrollo Tecnológico del Estado de Chihuahua, para la Coordinación de Servicios Educativos del Estado Educación Media Superior a Distancia de Colima, para el Colegio del Bachillerato Intercultural del Estado de Guerrero, para el Centro de Desarrollo Económico Educativo de la Mesa del Nayar, para el Colegio Superior para la Educación Integral Intercultural de Oaxaca, para el Centro de Capacitación Musical y Desarrollo de la Cultura Mixe de Oaxaca, y para el Bachillerato Intercultural del Estado de Tabasco, cláusula tercera, inciso a, y de los Convenios de Apoyo Financiero de los recursos de Telebachillerato Comunitario formalizados con los Gobiernos de los Estados, cláusula primera.",No Notificado,1,1
2020,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,De Cumplimiento,134,Subsidios para Organismos Descentralizados Estatales (Educación Media Superior),-,-,Secretaría de Educación Pública,Recomendación,2020-0-11100-19-0134-01-001,-,"Para que la Secretaría de Educación Pública, mediante la Subsecretaría de Educación Media Superior, establezca en el marco de sus esquemas de control, medidas que le permitan establecer un puntual y específico seguimiento de los recursos otorgados por el programa, a efecto de contar con información oportuna y confiable sobre el ejercicio de los recursos y el cumplimiento de las obligaciones adquiridas por las instancias beneficiarias, así como, para identificar un monto de referencia para que dichas instancias determinen la cuantía de recursos del programa que al cierre de cada ejercicio, debieran ser integrados a la TESOFE, con el objetivo de fortalecer el control interno del programa, así como, el cumplimiento de sus objetivos.

Los términos de esta recomendación y los mecanismos para su atención, por parte de la entidad fiscalizada, quedan asentados en el Acta de la Reunión de Presentación de Resultados Finales y Observaciones Preliminares en los términos del artículo 42 de la Ley de Fiscalización y Rendición de Cuentas de la Federación.",No Notificado,1,1
2020,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,De Cumplimiento,26,Distribución de las Participaciones Federales,"920,027,643.90","798,659,774.20",-,-,-,-,-,-,1,0
2020,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,De Cumplimiento,27,Distribución de los Recursos del Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,"86,970,527.00","86,970,527.00",-,-,-,-,-,-,1,0
2020,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,De Cumplimiento,32,Fondo Metropolitano,"2,786,801.70","2,786,801.70",-,-,-,-,-,-,1,0
2020,Gasto Federalizado,Instituciones Públicas de Educación Superior,Benemérita Universidad Autónoma de Puebla,Puebla,De Cumplimiento,152,Subsidios para Organismos Descentralizados Estatales,"4,474,493.10","3,847,392.60",Benemérita Universidad Autónoma de Puebla,Pliego de Observaciones,2020-4-99001-19-0152-06-001,-,"Se presume un probable daño o perjuicio, o ambos, a la Hacienda Pública Federal por un monto de 40,588,984.61 pesos (cuarenta millones quinientos ochenta y ocho mil novecientos ochenta y cuatro pesos 61/100 M.N.), más los rendimientos financieros generados desde su disposición hasta su reintegro a la cuenta bancaria de la Tesorería de la Federación, por disponer de los recursos del programa para la adquisición bienes muebles; sin embargo, este concepto y Capítulo de Gastos no están autorizados para pagarse con recursos del programa U006, en incumplimiento del Convenio Marco de Colaboración para el Apoyo Financiero suscrito por la Secretaría de Educación Pública, el Gobierno del Estado Libre y Soberano de Puebla y la Benemérita Universidad Autónoma de Puebla, cláusulas  segunda y tercera, inciso b, y del Anexo de Ejecución al Convenio Marco de Colaboración para el Apoyo Financiero suscrito por la Secretaría de Educación Pública, el Gobierno del Estado Libre y Soberano de Puebla y la Benemérita Universidad Autónoma de Puebla, cláusula tercera, párrafo primero, y Apartado Único (Distribución del apoyo financiero otorgado por la SEP y el Ejecutivo Estatal).",No Notificado,1,1
2020,Gasto Federalizado,Instituciones Públicas de Educación Superior,Benemérita Universidad Autónoma de Puebla,Puebla,De Cumplimiento,152,Subsidios para Organismos Descentralizados Estatales,"4,474,493.10","3,847,392.60",Benemérita Universidad Autónoma de Puebla,Pliego de Observaciones,2020-4-99001-19-0152-06-002,-,"Se presume un probable daño o perjuicio, o ambos, a la Hacienda Pública Federal por un monto de 28,383,265.73 pesos (veintiocho millones trescientos ochenta y tres mil doscientos sesenta y cinco pesos 73/100 M.N.), más los rendimientos financieros generados desde su disposición hasta su reintegro a la cuenta bancaria de la Tesorería de la Federación por el pago a los trabajadores de la Universidad de 21 prestaciones no ligadas al salario de las 64 observadas, no contempladas en los Contratos Colectivos de Trabajo; no consideradas en los Convenios celebrados entre el Rector de la Benemérita Universidad Autónoma de Puebla y los Sindicatos de personal Académico y no Académico; no permitidas en el oficio número 511/2019-1733, de fecha 21 de noviembre de 2019, emitido por la Dirección General de Educación Superior Universitaria mediante el cual se especifica que no es factible considerar pagos con recursos del Programa U006 de prestaciones no ligadas al salario, no autorizadas en el Contrato Colectivo de Trabajo; además, la propia Universidad en sus diversas respuestas a esta observación confirmó que efectivamente no están contempladas en ninguno de los dos Contratos Colectivos de Trabajo de personal Académico y no Académico. Por otra parte, la Universidad realizó un pago posterior a un trabajador que ya había causado baja, sin contar con la justificación del pago correspondiente, en incumplimiento del Reglamento de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, artículo 133 y del Convenio Marco de Colaboración para el Apoyo Financiero suscrito por la Secretaría de Educación Pública, el Gobierno del Estado Libre y Soberano de Puebla y la Benemérita Universidad Autónoma de Puebla, cláusula octava; del Anexo de Ejecución al Convenio Marco de Colaboración para el Apoyo Financiero suscrito por la Secretaría de Educación Pública, el Gobierno del Estado Libre y Soberano de Puebla y la Benemérita Universidad Autónoma de Puebla, cláusula tercera, párrafo primero, y Apartado Único (Distribución del apoyo financiero otorgado por la SEP y el Ejecutivo Estatal); del Contrato Colectivo de trabajo celebrado entre la Benemérita Universidad Autónoma de Puebla y la Asociación de Personal Académico de la Benemérita Universidad Autónoma de Puebla, cláusulas 4, fracciones XXV y XXVI, 17, 25 y 90 y del Contrato Colectivo de Trabajo Celebrado entre la Benemérita Universidad Autónoma de Puebla y el Sindicato Independiente de Trabajadores no Académicos de la Benemérita Universidad Autónoma de Puebla, cláusulas 4, fracción XVI, 51, 56 y 87.",No Notificado,1,1
2020,Gasto Federalizado,Instituciones Públicas de Educación Superior,Benemérita Universidad Autónoma de Puebla,Puebla,De Cumplimiento,152,Subsidios para Organismos Descentralizados Estatales,"4,474,493.10","3,847,392.60",Benemérita Universidad Autónoma de Puebla,Solicitud de Aclaración,2020-4-99001-19-0152-03-001,-,"Para que la Benemérita Universidad Autónoma de Puebla aclare y proporcione la documentación adicional justificativa y comprobatoria de 23,992,244.50 pesos (veintitrés millones novecientos noventa y dos mil doscientos cuarenta y cuatro pesos 50/100 M.N.), por concepto de pago de becas con recursos del programa U006 otorgadas por la Benemérita Universidad Autónoma de Puebla que no contaron los requisitos de los 629 trabajadores del Sistema Nacional de Investigadores para acceder a la beca.",No Notificado,1,1
