estado,municipio,Accesibilidad al espacio público abierto,Acceso a Internet,Acceso a agua mejorada,Aglomeración económica,CALIDAD DE VIDA,Calidad del aire,Capacidad institucional y ﬁnanzas municipales,Coeﬁciente de Gini,Concentraciones de material particulado,Concentración de CO2,Crecimiento económico,Densidad de la interconexión vial,Densidad de médicos,Densidad económica,Densidad poblacional,Densidad vial,Desempleo juvenil,Deuda subnacional,EQUIDAD E INCLUSIÓN SOCIAL,Educación,Empleo,Energía,Equidad económica,Espacio habitable suﬁciente,Espacio público,Esperanza de vida al nacer,Eﬁciencia del gasto local,Eﬁciencia en el uso de suelo,Fatalidades de tránsito,Forma urbana,GOBERNANZA Y LEGISLACIÓN URBANA,Gobernanza de la urbanización,INFRAESTRUCTURA DE DESARROLLO,Inclusión de género,Inclusión social,Infraestructura de comunicaciones,Infraestructura de vivienda,Infraestructura social,Inscripción equitativa en educación a nivel secundario,Longitud de transporte masivo,Manejo de residuos,Movilidad urbana,Número de estaciones de monitoreo,PRODUCTIVIDAD,Participación electoral,Participación y rendición de cuentas,Producto urbano per cápita,Promedio de años de escolaridad,Proporción de generación de energía renovable,Recaudación de ingresos propios,Recolección de residuos sólidos,Relación de dependencia de la tercera edad,Relación empleo-población,SOSTENIBILIDAD AMBIENTAL,Salud,Seguridad y protección,Superﬁcie destinada a vías,Tasa de alfabetización,Tasa de desempleo,Tasa de homicidios,Tasa de mortalidad de menores de 5 años,Tasa de pobreza,Tratamiento de aguas residuales,Velocidad de banda ancha promedio,Vivienda durable,Viviendas en barrios precarios,Áreas verdes per cápita
Aguascalientes,Aguascalientes,73.28,27.92,99.02,68.1,69.72,62.83,43.6,49.45,67.43,46.08,51.88,100.0,71.24,68.1,42.9,84.57,62.88,14.66,72.49,85.15,64.44,0.0,47.8,100.0,63.96,73.16,91.34,0.0,84.71,89.49,29.1,0.0,64.85,90.33,79.34,35.68,85.48,71.24,90.33,0.0,41.47,42.36,75.0,61.48,43.7,43.7,41.23,73.79,0.0,24.8,2.94,62.54,58.77,34.77,67.44,62.34,83.91,96.51,70.12,62.34,61.71,46.15,80.0,43.44,99.99,95.8,54.65
Aguascalientes,Jesús María,38.22,32.03,97.96,70.14,60.84,56.75,20.87,53.62,67.42,46.08,59.68,100.0,21.7,70.14,10.6,78.63,74.44,3.62,73.72,71.44,69.28,0.0,51.67,100.0,38.48,74.97,43.66,100.0,81.19,80.49,56.84,100.0,52.6,85.28,84.21,43.06,77.14,21.7,85.28,0.0,83.2,40.59,,66.37,49.65,49.65,48.97,47.14,0.0,15.33,99.36,70.39,57.34,69.97,73.82,59.62,62.82,95.74,81.23,59.62,72.67,49.71,67.03,54.1,100.0,93.98,38.73
Aguascalientes,San Francisco de los Romo,100.0,8.4,98.42,65.86,62.71,56.75,37.2,60.7,67.43,46.08,60.89,100.0,27.9,65.86,12.31,87.82,69.52,0.0,72.67,75.79,64.59,0.0,47.86,100.0,58.96,73.16,100.0,0.0,77.64,88.0,29.81,0.0,51.66,87.23,82.93,25.92,77.68,27.9,87.23,0.0,35.36,38.82,,63.78,52.23,52.23,51.47,57.57,0.0,11.61,2.24,70.31,55.52,30.7,64.17,51.93,76.19,94.02,73.66,51.93,55.17,35.02,68.48,43.44,100.0,96.33,17.93
Baja California,Ensenada,28.97,45.03,85.26,57.58,54.24,64.29,44.57,45.63,82.5,46.08,42.72,100.0,50.46,57.58,16.13,74.58,78.69,57.96,72.79,72.25,63.01,0.0,44.34,100.0,27.56,69.2,61.59,46.85,93.74,81.22,42.42,46.85,56.56,92.33,81.71,49.57,54.68,50.46,92.33,0.0,89.1,46.87,,54.44,35.83,35.83,27.83,49.14,0.0,14.15,91.14,57.61,51.18,76.7,67.96,49.2,69.07,95.35,74.85,49.2,66.72,43.04,87.07,54.1,17.34,84.74,26.14
Baja California,Mexicali,42.9,37.96,95.59,55.86,59.45,35.36,66.59,48.62,0.0,46.08,51.07,95.5,59.54,55.86,12.96,75.59,69.51,59.07,74.23,85.32,70.31,100.0,48.49,100.0,29.74,66.38,100.0,0.0,99.33,79.94,29.64,0.0,57.87,92.0,82.18,40.7,59.52,59.54,92.0,0.0,97.71,49.66,60.0,59.08,22.34,22.34,40.55,74.43,100.0,40.7,95.51,61.6,62.73,77.69,62.0,60.72,68.72,96.22,77.89,60.72,57.62,48.37,99.91,43.44,29.52,94.85,16.58
Baja California,Playas de Rosarito,27.44,46.51,84.64,54.35,52.26,38.39,55.61,44.66,30.69,46.08,43.06,100.0,38.99,54.35,11.2,70.38,79.53,50.44,74.27,71.68,59.83,0.0,42.65,100.0,29.81,69.2,76.1,0.0,55.09,80.75,30.31,0.0,49.31,95.88,84.29,50.3,48.96,38.99,95.88,0.0,92.48,27.55,,52.41,35.32,35.32,29.4,46.86,0.0,40.29,98.34,56.72,45.48,65.43,72.9,34.67,71.87,96.5,74.19,34.67,76.6,40.63,86.61,54.1,0.0,89.06,32.18
Baja California,Tecate,37.01,48.79,86.44,64.62,58.58,38.39,32.01,47.49,30.69,46.08,48.95,87.37,51.54,64.62,12.84,54.91,77.92,17.62,77.21,72.37,59.55,0.03,47.68,100.0,47.48,69.2,75.08,100.0,80.55,69.7,56.29,100.0,52.55,98.81,85.16,51.45,49.82,51.54,98.81,0.0,86.37,40.27,,57.71,36.86,36.86,42.14,47.71,0.03,3.32,86.06,55.75,47.15,41.6,69.83,44.65,66.82,97.02,71.95,44.65,70.46,47.86,86.67,54.1,0.0,92.39,57.94
Baja California,Tijuana,44.48,37.98,96.61,65.38,58.05,38.93,74.13,49.15,30.7,46.08,57.58,100.0,50.38,65.38,35.34,74.65,69.33,80.01,72.66,85.63,69.88,0.0,47.52,100.0,36.12,66.38,90.0,66.24,93.56,80.76,59.53,66.24,57.15,89.03,81.44,40.71,67.14,50.38,89.03,0.0,65.22,46.78,40.0,64.28,38.22,38.22,40.81,75.0,0.0,52.38,90.25,74.34,66.86,34.72,60.72,49.73,67.64,96.26,72.91,49.73,55.06,45.88,40.2,43.44,36.6,93.54,27.75
Baja California Sur,La Paz,81.34,40.88,93.92,61.28,64.22,45.36,58.75,48.64,65.0,46.08,48.34,100.0,75.13,61.28,30.91,74.83,72.18,46.09,72.85,88.31,71.16,0.0,48.2,100.0,45.27,74.03,100.0,100.0,86.42,87.74,71.32,100.0,74.05,89.26,81.08,42.16,78.81,75.13,89.26,,95.4,86.42,25.0,60.26,55.21,55.21,34.21,79.71,0.0,30.16,93.39,62.47,64.16,46.92,65.58,57.71,88.39,96.9,78.15,57.71,57.13,47.77,97.41,43.44,90.41,89.98,9.21
Baja California Sur,Los Cabos,40.91,43.94,76.64,63.17,55.58,23.04,55.59,43.24,0.0,46.08,59.49,100.0,43.27,63.17,19.86,72.13,86.79,30.57,71.21,73.71,75.94,0.0,47.06,100.0,29.23,75.64,74.33,48.46,91.75,81.29,49.5,48.46,66.66,88.2,78.37,49.02,67.99,43.27,88.2,,71.53,91.75,,66.2,44.44,44.44,37.88,50.64,0.0,61.87,92.98,81.11,68.55,47.28,81.1,38.29,71.74,96.77,83.32,38.29,86.56,50.88,50.08,54.1,75.47,69.96,17.56
Campeche,Campeche,62.85,30.14,96.83,56.87,70.99,32.03,44.04,46.69,25.0,46.08,43.06,100.0,83.34,56.87,25.19,51.81,84.73,14.7,70.89,83.49,76.19,0.0,45.57,100.0,64.83,71.25,100.0,0.0,91.33,66.0,33.71,0.0,70.7,82.56,84.53,36.79,76.03,83.34,82.56,,52.68,91.33,25.0,58.71,57.1,57.1,29.54,73.29,0.0,17.42,91.34,56.57,60.73,28.23,63.95,71.69,46.18,93.7,91.64,71.69,56.64,44.45,14.01,43.44,82.1,84.34,66.81
Campeche,Carmen,79.62,43.38,78.7,100.0,73.0,23.04,46.56,37.09,0.0,46.08,81.44,86.39,44.3,100.0,27.13,22.33,82.73,39.31,69.98,74.09,61.94,0.0,44.04,100.0,89.81,72.93,93.74,0.0,96.62,52.12,32.51,0.0,62.73,87.24,78.65,48.74,71.86,44.3,87.24,,45.96,96.62,,81.13,50.97,50.97,100.0,53.36,0.0,6.65,87.6,62.88,46.76,34.5,64.59,63.53,47.64,94.82,77.12,63.53,56.24,50.99,4.31,54.1,81.59,74.57,100.0
Chiapas,Berriozábal,18.94,5.42,33.68,37.94,44.68,56.75,32.86,46.59,67.43,46.08,33.26,97.74,22.01,37.94,13.29,70.0,100.0,0.0,56.82,63.89,74.27,0.0,32.84,100.0,9.59,62.66,98.58,0.0,96.43,74.93,29.56,0.0,45.0,87.63,50.0,24.43,55.42,22.01,87.63,0.0,33.28,48.21,,48.49,55.82,55.82,0.0,48.5,0.0,0.0,66.55,66.51,52.67,30.01,59.76,45.5,57.05,79.28,95.88,45.5,56.86,19.09,0.0,43.44,74.68,0.0,0.24
Chiapas,Chamula,31.08,0.46,45.9,35.39,60.3,23.04,,61.16,0.0,46.08,30.98,62.52,27.69,35.39,2.56,10.46,79.56,0.0,48.23,34.09,45.94,0.0,30.58,100.0,65.54,64.79,,100.0,100.0,37.38,87.16,100.0,49.28,44.23,69.89,27.28,54.06,27.69,44.23,,6.73,100.0,,37.44,74.32,74.32,0.0,12.5,0.0,,6.73,61.95,26.19,14.89,67.59,74.0,39.15,55.68,65.68,74.0,70.39,0.0,0.0,54.1,67.77,60.22,100.0
Chiapas,Chiapa de Corzo,40.98,12.94,84.06,50.49,62.13,56.75,26.77,38.38,67.42,46.08,31.34,100.0,15.93,50.49,9.73,29.83,86.89,4.91,68.11,64.15,63.45,0.0,31.17,100.0,70.49,64.79,75.41,89.76,100.0,55.64,58.35,89.76,44.89,90.75,82.4,33.52,69.38,15.93,90.75,0.0,41.83,50.0,,48.43,58.52,58.52,7.65,41.86,0.0,0.0,82.42,55.04,45.21,49.29,61.2,52.69,37.09,86.44,81.68,52.69,57.61,23.96,1.24,54.1,83.75,77.91,100.0
Chiapas,Chilón,86.92,0.46,69.12,41.07,68.57,23.04,20.47,46.31,0.0,46.08,36.06,72.43,25.57,41.07,11.94,23.06,60.89,0.0,51.46,40.48,27.78,0.0,23.16,100.0,93.46,64.79,61.42,100.0,100.0,47.06,65.87,100.0,50.41,69.71,61.5,27.28,52.15,25.57,69.71,,14.18,100.0,,34.97,77.14,77.14,0.0,17.71,0.0,0.0,14.18,72.11,1.26,18.61,69.36,70.97,45.69,63.24,54.3,70.97,73.92,0.0,0.0,54.1,27.53,62.12,100.0
Chiapas,Cintalapa,69.02,7.28,86.26,44.99,66.97,23.04,2.62,42.5,0.0,46.08,23.1,100.0,32.56,44.99,16.0,66.52,71.97,5.23,68.27,61.36,44.43,0.0,31.75,100.0,84.51,64.79,,63.09,91.49,78.77,42.4,63.09,60.78,97.46,75.6,30.69,70.38,32.56,97.46,,58.37,91.49,,37.51,61.51,61.51,0.0,36.86,0.0,0.0,58.37,46.2,27.81,40.7,65.92,56.11,69.8,85.85,61.05,56.11,67.05,21.01,0.0,54.1,79.26,79.22,100.0
Chiapas,Comitán de Domínguez,38.63,11.05,75.28,52.69,61.7,23.04,22.25,46.06,0.0,46.08,38.12,99.78,58.69,52.69,12.58,44.74,81.86,7.71,71.1,62.02,58.47,0.0,34.27,100.0,69.32,64.79,59.03,64.12,98.99,62.6,48.22,64.12,63.72,95.53,83.52,32.58,65.77,58.69,95.53,,69.42,98.99,,49.76,58.29,58.29,17.02,37.86,0.0,0.0,85.32,59.22,41.25,46.23,57.95,57.51,43.27,86.18,75.68,57.51,51.12,22.47,53.51,54.1,75.21,85.18,100.0
Chiapas,Frontera Comalapa,63.67,3.06,77.05,42.28,69.17,23.04,,48.89,0.0,46.08,27.06,100.0,28.83,42.28,8.12,79.49,77.01,0.0,68.55,57.51,40.19,0.0,31.64,100.0,81.84,64.79,,100.0,98.79,78.01,82.94,100.0,60.27,95.55,78.47,28.58,67.12,28.83,95.55,,30.8,98.79,,36.51,65.87,65.87,0.0,29.0,0.0,,49.86,54.12,14.84,26.92,75.42,61.93,54.53,86.03,65.54,61.93,86.04,14.4,11.75,54.1,83.3,79.93,100.0
