,Número,Año Cuenta Pública,Espacio público,Densidad poblacional,Tratamiento de aguas residuales,Tasa de homicidios,Superﬁcie destinada a vías,Participación electoral,MONTO_MODIFICADO,MONTO_COMPROMETIDO,MONTO_PAGADO,MONTO_EJERCIDO,MONTO_APROBADO,es_peña,desaparecido_bool
0,9,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
1,18,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
2,18,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
3,19,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
4,22,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
5,24,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
6,24,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
7,25,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
8,25,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,True
9,26,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
10,26,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
11,26,2020,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,79676778889.88,29054506170.24,23051170755.16003,23318200904.68003,77284827905.68,False,False
12,27,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
13,27,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
14,27,2020,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,79676778889.88,29054506170.24,23051170755.16003,23318200904.68003,77284827905.68,False,False
15,28,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
16,28,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
17,29,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
18,30,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
19,31,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
20,32,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
21,32,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
22,32,2020,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,79676778889.88,29054506170.24,23051170755.16003,23318200904.68003,77284827905.68,False,False
23,33,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
24,35,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
25,36,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
26,36,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
27,37,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
28,38,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
29,38,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,True
30,39,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
31,39,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
32,39,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
33,40,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
34,40,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
35,41,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
36,42,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
37,43,2016,42.7175,22.50875,57.99,59.4325,61.35875,57.07874999999999,31712997073.590023,29358707601.12003,29264479608.380028,29264479608.380028,31716477525.720016,True,True
38,43,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
39,44,2016,61.61105263157896,26.087368421052634,34.96368421052631,59.59473684210526,61.748947368421064,52.24894736842106,507693962.08000004,456640308.4499999,344551300.21999997,368248077.76,550187262.21,True,False
40,46,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
41,46,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
42,46,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
43,48,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,True
44,49,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,True
45,50,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,True
46,53,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
47,55,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
48,56,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
49,58,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
50,59,2016,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,16954709.07,16921782.46,16921782.46,16921782.46,16954709.07,True,False
51,60,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
52,67,2017,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,1427149470.4499998,1253771554.6999998,830618302.6500001,830618302.6500001,54380105.78,True,False
53,88,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
54,89,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
55,89,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,True
56,99,2019,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,131795845674.39987,80797517324.23016,65190771235.35999,65452530075.64999,113460454422.87,False,False
57,101,2018,70.375625,89.311875,8.875,63.246875,67.298125,66.135625,33566262219.459965,28840141151.189987,27892643092.179996,27915481425.919994,24114505260.11,True,False
